precinct,ward,long,lat,total_units,occupied,vacant,total_pop,total_hisp,total_nonhisp,white_alone,black_alone,aian_alone,nhpi_alone,asian_alone,other_alone,two_or_more,Green,King,Buckner,Wilson,Johnson,Vallas,Lightfoot,Sawyer,Garcia
4,12,-87.67786047377444,41.82570070430369,1579,1463,116,3936,2276,1660,718,115,3,0,722,9,93,5,1,7,14,59,103,15,4,105
4,13,-87.72550949118397,41.78954936513272,1161,1112,49,3958,3391,567,451,13,2,0,78,13,10,3,2,1,30,28,103,10,0,150
4,14,-87.7022437715439,41.78323241743309,1258,1111,147,3254,2428,826,101,670,1,0,6,21,27,3,0,1,6,8,14,5,0,41
4,15,-87.65845648152823,41.8110013338203,2138,1890,248,5576,5026,550,228,163,6,3,97,6,47,5,2,0,19,19,50,12,0,118
4,16,-87.67258492350298,41.77064049684661,1209,973,236,2922,644,2278,13,2180,1,0,2,17,65,7,1,0,44,22,9,63,1,6
4,17,-87.675819149633,41.76252254647985,933,791,142,2454,443,2011,14,1937,3,0,3,8,46,11,3,2,49,34,21,96,1,4
4,18,-87.67790109200834,41.74652211791943,942,887,55,2599,199,2400,83,2265,1,0,6,10,35,17,8,6,58,74,57,151,5,11
4,19,-87.71315316513584,41.695028225770486,1173,1149,24,3118,293,2825,2716,30,1,0,11,7,60,1,1,1,28,14,493,17,0,44
4,20,-87.6570611175605,41.7979246698727,738,609,129,1836,736,1100,29,1028,0,0,1,6,36,5,1,0,21,27,7,31,1,9
4,21,-87.64786740285311,41.681506619966854,1242,1107,135,2926,71,2855,12,2779,1,0,0,11,52,16,6,2,116,70,43,173,3,12
4,22,-87.72210578286223,41.8468058362111,1528,1417,111,4739,4285,454,117,294,5,0,7,10,21,2,0,0,2,20,13,2,0,116
4,23,-87.78831385212082,41.79423502775628,439,422,17,1216,469,747,682,18,3,4,10,5,25,4,1,1,20,7,178,3,2,29
4,24,-87.73387626890784,41.85836664033429,1985,1698,287,4695,592,4103,56,3962,7,0,6,7,65,11,3,1,74,48,11,127,3,15
4,25,-87.69041237981034,41.845035735185746,1892,1679,213,5446,4214,1232,443,665,6,4,39,14,61,7,2,5,26,74,45,9,1,150
4,26,-87.7508048418363,41.918788359588056,2189,2072,117,7211,6520,691,358,204,11,1,45,24,48,4,2,1,38,28,54,28,0,95
4,27,-87.6700948231155,41.88441382573546,2052,1902,150,3708,220,3488,1352,1729,7,1,273,9,117,14,3,4,57,60,49,138,1,15
4,28,-87.73242381000884,41.88765101232305,1417,1186,231,2864,264,2600,40,2475,8,0,9,9,59,3,1,1,58,19,13,83,1,6
4,29,-87.8032475963687,41.91788624649178,1524,1450,74,3297,1320,1977,1345,460,5,0,85,10,72,8,1,2,30,42,189,44,0,40
4,30,-87.76885370185224,41.94251432588469,1498,1447,51,4280,2216,2064,1633,80,1,0,247,12,91,4,4,2,37,44,138,19,0,91
4,31,-87.7272422564427,41.93232573556048,2017,1800,217,4731,2878,1853,1369,192,18,0,126,28,120,3,0,6,11,102,59,16,0,60
4,32,-87.67110725155632,41.9414880176322,1765,1655,110,3164,273,2891,2458,113,6,0,189,11,114,1,5,13,5,123,186,42,1,57
4,33,-87.70262758939212,41.94284843416621,1976,1847,129,4572,1896,2676,2026,132,5,0,296,31,186,4,4,16,35,241,203,54,0,156
4,34,-87.65416857273101,41.87022344883559,1604,1403,201,4301,478,3823,1634,651,11,0,1294,88,145,7,7,8,18,67,183,49,1,64
4,35,-87.71898395878361,41.921462235392454,2045,1892,153,5137,3177,1960,1419,293,5,0,88,21,134,8,2,8,11,151,70,37,3,89
4,36,-87.78941011620107,41.93277992062104,1140,1086,54,3385,2100,1285,919,170,4,0,139,7,46,3,4,3,24,28,106,27,1,101
4,37,-87.76353246460762,41.90474674894586,1332,1218,114,3397,689,2708,19,2642,2,0,6,3,36,7,4,4,79,58,31,162,3,10
4,38,-87.84289599988433,41.944908776455705,1620,1569,51,3825,933,2892,2616,38,8,1,153,7,69,2,5,5,59,14,273,13,1,31
4,39,-87.74169851438924,41.98445617747367,1198,1159,39,2921,354,2567,1951,34,1,1,446,22,112,7,5,7,16,48,341,61,1,48
4,40,-87.6980571278667,41.98791278003823,2212,2049,163,5995,1545,4450,1864,567,14,0,1808,34,163,4,10,9,38,69,176,44,0,81
4,41,-87.83176262209776,41.97937984423997,2445,2333,112,5371,601,4770,4078,79,4,0,471,14,124,0,2,2,38,10,363,16,1,25
4,42,-87.61584250186445,41.886881983788506,5827,5064,763,8403,599,7804,5271,393,8,0,1760,46,326,7,8,20,16,52,353,67,3,39
